feature_set,component,eigenvalue,variance.percent,cumulative.variance.percent
clinical,Dim.1,1.4906832172447104,21.295474532067303,21.295474532067303
clinical,Dim.2,1.1656261492633293,16.651802132333284,37.94727666440059
clinical,Dim.3,0.9957962804108424,14.225661148726326,52.172937813126914
clinical,Dim.4,0.9453117911144456,13.504454158777802,65.67739197190471
clinical,Dim.5,0.8514327313852773,12.163324734075395,77.84071670598011
clinical,Dim.6,0.823046643770455,11.757809196720792,89.5985259027009
clinical,Dim.7,0.7281031868109364,10.401474097299097,100
clinical_biomarkers,Dim.1,3.6888659968281647,23.05541248017603,23.05541248017603
clinical_biomarkers,Dim.2,1.2664060222926776,7.915037639329235,30.970450119505266
clinical_biomarkers,Dim.3,1.2242921506705016,7.651825941690635,38.622276061195905
clinical_biomarkers,Dim.4,1.0826217304416919,6.766385815260575,45.388661876456474
clinical_biomarkers,Dim.5,1.0190638216903332,6.369148885564583,51.75781076202106
clinical_biomarkers,Dim.6,0.9675594408600399,6.0472465053752495,57.80505726739631
clinical_biomarkers,Dim.7,0.9082682727701108,5.676676704813192,63.4817339722095
clinical_biomarkers,Dim.8,0.8734642535957784,5.459151584973615,68.94088555718312
clinical_biomarkers,Dim.9,0.8290355470431429,5.181472169019643,74.12235772620276
clinical_biomarkers,Dim.10,0.7525769432583657,4.7036058953647855,78.82596362156754
clinical_biomarkers,Dim.11,0.7011304496545554,4.3820653103409715,83.20802893190852
clinical_biomarkers,Dim.12,0.6706295875048617,4.191434921905386,87.3994638538139
clinical_biomarkers,Dim.13,0.5675871074759149,3.5474194217244683,90.94688327553837
clinical_biomarkers,Dim.14,0.5266312584310886,3.2914453651943036,94.23832864073268
clinical_biomarkers,Dim.15,0.5025372404195645,3.140857752622278,97.37918639335496
clinical_biomarkers,Dim.16,0.4193301770632071,2.6208136066450445,100
