feature_set,variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
clinical,age,-0.06654849729691577,-0.3752529813667221,-0.03903504076067676,0.004701434834979488,0.12858645442755195,-0.4466764241775028,-0.304529449355238,-0.08223262399789455,0.2740977539984882,-0.08780865986731584,-0.14190189926425206,0.2643593709982082,0.45610990387966244,-0.3499188476168742,0.06043861730021937,-0.14686165765066087,-0.026836487419339885,-0.020778181713284914,-0.08911482880915003,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,maritalStatus,0.15367661379733866,0.10209003495011015,-0.362382231277921,0.09524921029952008,0.20280384954885816,0.3198126258057997,-0.27261065077705565,0.284601193245428,-0.14895811326304592,-0.2554397952676634,0.3878899157294909,-0.3119138137427404,0.27460045541327815,-0.263206430041133,0.1030835559933306,-0.12013748940174296,-0.03771759250485921,0.1180188335552411,-0.0810169815092252,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,smokingStatus,-0.11001239780060404,-0.18079198639524602,0.17253260921636568,-0.2989642648281315,-0.2580354782565052,0.20565599019647632,-0.30330487739329814,0.4790551519636516,-0.02828254710183096,0.24882285350376454,-0.3732283099373748,-0.2521733257968141,0.06966042791077723,-0.13380483194164414,-0.3202873082698991,0.09258316196003753,0.02952391929139741,0.051709387838251714,-0.051372272848522096,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,numChildren,-0.042567721914901324,0.16425909263541202,0.14939849452540394,-0.2876034399738008,-0.1387450388381056,0.5679781069900385,-0.06837558812938724,-0.40362068685686525,-0.02642964839319974,-0.07838610675482582,0.0475745924013235,0.39299231312360566,0.36770767481408967,-0.0889367011093511,-0.08347467021888552,0.11912235422082629,-0.09030444195647375,-0.13125123408718026,-0.059407755717774055,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,seasonalDepression,0.1249125428110251,0.1271060074513164,-0.1688703426221026,0.33673296034421113,-0.44568675463645435,-0.07330819658582043,-0.02672701950805887,0.03585851550895735,-0.06887255517880002,-0.5862532444245777,-0.4042082798055154,0.022784138544053142,0.03563384401276026,0.04521183937676236,-0.04342089901879341,0.27700764618894236,-0.09457731378029163,0.004186794740482166,-0.1307251447501154,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,socioEconomicStatus,-0.19129481988400193,-0.2838975820791684,0.10104499834117486,-0.15678758342657248,0.4237221024595397,0.01757719416167386,-0.01860296689459888,-0.21536416259212732,-0.04991690083828571,-0.4795317372493176,0.047071578656326024,-0.1381515417144737,-0.19644102489641427,0.06012593820009063,-0.49154275438636635,0.1781116297478178,0.0745703209936912,0.21300068910133801,-0.03496593917490985,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,MDD_severity,-0.24837255410874437,-0.1354544760061122,-0.0344745532537222,-0.287219082171753,0.1906883506185119,0.22388373132414963,0.2459823715174086,0.2479310255831162,0.34435017222311254,-0.27636871298104143,-0.22514010879226823,-0.07212480312511482,0.06133282188646828,0.1877722188782764,0.5587155784006184,0.12121002382557364,-0.02711185597001326,-0.0469626171945563,0.09030160198216146,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,QIDS1.baseline,-0.21935645146391686,0.18326187530313048,-0.03586730541212019,-0.12746328458602157,0.31135600703780864,-0.11394463988992078,-0.051893157574186256,0.25307396244754904,-0.6223905833393446,-0.09486012548378601,-0.21692273780577742,0.35452483465121204,-0.15269914459031145,-0.13376308825616673,0.08467870598203328,-0.08387467130708649,-0.006216954943374394,-0.3123483392974087,-0.044409676150884876,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,QIDS2.baseline,-0.23167517772583945,0.409725877598489,-0.07862996847253703,-0.17904609558457013,-0.07072982353615838,-0.16841691433704642,-0.17978093706470916,0.22795345864002664,0.17268737467871792,-0.10981585514930006,0.09851444578305926,0.26938672665426694,0.09745888730244608,0.3991881981382081,-0.1930989319197061,-0.29113017362414345,-0.1520798754709187,0.4089040306019749,0.13107720205605466,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,QIDS3.baseline,-0.1760750441408097,0.35695849648399497,-0.262945158617069,-0.16158906334618964,0.04349108890132716,-0.032652790024646966,-0.1426750048698761,-0.4291917798830339,0.077031012798199,0.033555603847546876,-0.36751469399799697,-0.41927001284222787,-0.005673683384185571,-0.007174459717126033,0.02611163527267482,-0.3131754274425215,0.2992931104934889,-0.1128424350690398,-0.14049679120539968,NA,NA,NA,NA,NA,NA,NA,NA,NA
